"GEONAME_H";"CAT";"C_ROZH";"ROK_ST";"D_ROZH";"GN_ID"
"Vrch hrbu";"HrebeÚ, chrb·t";"P-378/1975";1993;"19.11.1975";{B89CBBA3-CBEE-47E6-B053-C8DC3DF3E5D7}
"RaËÌ potok";"Vodn˝ tok";"P-108/1978";1994;"30.03.1978";{4E12C31D-815C-49E8-9110-853AE3C2F83E}
"Vrch HlbokÈho";"Vrch";"P-378/1975";1993;"19.11.1975";{38119BA8-0A7D-0AD4-E053-3DC4A8C097BF}
"Dr·ûna";"Vodn˝ tok";"P-255/1992";2007;"16.06.1992";{C9F501DE-1F8B-4FDF-B242-D0FC103B2D7F}
"Bahensk˝ kan·l";"Vodn˝ tok";"P-108/1978";2007;"30.03.1978";{C759C95B-07A3-4414-858F-8B7B6A000087}
"OsnÈ";"Vodn˝ tok";"P-108/1978";1988;"30.03.1978";{C931C79C-FB74-4AD4-A094-D6BEFB1DE3F9}
"Galomia";"Vodn˝ tok";"P-164/1976";1991;"23.06.1976";{676281F9-BC4A-4D1B-9439-4C87F64DF32F}
"cesta Slobody";"Cesta";"P-42/1988";2007;"04.02.1988";{01C184FB-AB3C-4BD3-AADE-23F98543ABFA}
"Marianska hora";"Vrch";"P-221/1981";1992;"09.09.1981";{7589B8D3-BC87-468B-A876-5F50E829CA69}
"P˝chod";"Pole";"P-108/1978";1991;"30.03.1978";{382DAE1A-A028-46C4-BD79-CDA25342C7C9}
"Lenerov potok";"Vodn˝ tok";"P-244/1986";2007;"29.07.1986";{3C72B36D-BF52-2318-E053-3DC4A8C0C177}
"Tarnovsk˝ potok";"Vodn˝ tok";"P-378/1975";1988;"19.11.1975";{A7AC85A0-FC87-4C05-AD34-C1F6FBF878ED}
"Palovick˝ potok";"Vodn˝ tok";"P-425/1990";1992;"31.10.1990";{A18A2868-5D2D-47D3-A04C-6381736EB9D6}
"Hony";"Pole";"P-108/1978";1985;"30.03.1978";{2E784307-EBF7-41A3-B399-1EBEE2DC6DF9}
"Hanisov";"Pole";"P-108/1978";1988;"30.03.1978";{5F8455CA-746A-46B2-A6D1-8A09767F1B90}
"Habrovec";"Les";"GK-1031/1993";2007;"01.06.1993";{ADBBAA0D-9A7F-46EF-BF6D-965C66422479}
"Plaön·";"Vrch";"P-378/1975";2010;"19.11.1975";{3820BFCF-E35D-6701-E053-3DC4A8C06ABC}
"Baske";"Vrch";"P-108/1978";2006;"30.03.1978";{3691A048-3018-7D5B-E053-3DC4A8C05FDE}
"Chot·rny jarok";"Vodn˝ tok";"GK-2186/1994";2007;"16.08.1994";{3A3F336F-1BED-C0EB-E053-3DC4A8C0EED7}
