"GEONAME_H";"CAT";"C_ROZH";"ROK_ST";"D_ROZH";"GN_ID"
"»ermansk· domovina";"Majer, osada, samota, miestna Ëasù";"P-221/1981";1985;"09.09.1981";{F00DAF69-2DBD-4891-91A5-4D25B4A44F00}
"Mal· M·Ëa";"Pole";"GK-2327/1993";2010;"09.11.1993";{162EBA3B-E952-4741-ADFE-7F613559EE18}
"Pod gr˙Úom";"Majer, osada, samota, miestna Ëasù";"P-221/1981";1994;"09.09.1981";{C2B45B43-7052-4D83-A03A-0BE065942F29}
"L˙ûie";"Pole";"GK-1832/1994";1994;"23.06.1994";{D944E70F-ABCF-4368-90A7-7F1B28ABB4E0}
"LetniËiansky potok";"Vodn˝ tok";"P-108/1978";2003;"30.03.1978";{D269F1B0-E9FF-491B-ABE9-C0C3370AEE29}
"Hanin les";"Les";"P-321/1990";2013;"16.07.1990";{273E1B31-D40A-43A4-8CD5-5EFCBCCF01B9}
"äiöul·kovci";"Majer, osada, samota, miestna Ëasù";"P-221/1981";2010;"09.09.1981";{DCED09B2-F1A9-4C24-9FF3-99B3D08A0E01}
"PrÌbisko";"Vodn˝ tok";"P-164/1976";1994;"23.06.1976";{223EDE48-61A0-49AA-9ECE-5F1971BFA394}
"Dr·ûna";"Vodn˝ tok";"P-255/1992";2007;"16.06.1992";{E319980F-846D-4562-876D-19C39A7CBF9C}
"VazËÌk";"Vrch";"P-378/1975";1992;"19.11.1975";{380C6CB4-127B-8899-E053-3DC4A8C00FED}
"Nad por˙ban˝m";"Pole";"P-305/1992";2007;"05.08.1992";{F3ED8EF3-350B-4B4D-B192-29854DB69467}
"Dudv·h";"Vodn˝ tok";"P-108/1978";1993;"30.03.1978";{AF768BED-78AD-491C-A3AD-D69E78ABA2BF}
"Dudv·h";"Vodn˝ tok";"P-108/1978";2007;"30.03.1978";{C1FCBFA0-1436-4583-A239-525421E59CCB}
"M˙tnik";"Vodn˝ tok";"GK-2186/1994";2017;"16.08.1994";{B26C8C15-27F0-49A3-B994-FBDA15D42B9E}
"Barborka";"Kaplnka";"P-221/1981";2007;"09.09.1981";{ED15AA70-AB01-4432-BD61-864D3ED4C9EA}
"Pri mlyne";"Vodn· n·drû";"GK-2327/1993";2009;"09.11.1993";{41BF9F20-46A9-4E0B-AEE7-A2723276342D}
"Luûn·";"L˙ka, pasienok";"P-185/1987";2012;"03.06.1987";{4540CE24-CFBF-A459-E053-3DC4A8C0C6E0}
"ZajarËie";"Kan·l, n·hon";"P-108/1978";1988;"30.03.1978";{9AFB67E9-07F0-4373-AB29-6A72EC86FF36}
"DÛna";"Svah";"P-2166/2008";2012;"08.04.2008";{75F422A6-A999-4A74-83E9-76709DBEDF78}
"BaranË";"Pole";"P-255/1992";2008;"16.06.1992";{70DDD37F-47ED-4852-B268-109963284CCA}
"NovÈ TrÌby";"Les";"P-190/1988";2012;"01.07.1988";{646CE2A0-03B6-40AA-A178-A1594B341DCE}
"Veæk· sihoù";"Pole";"P-108/1978";1991;"30.03.1978";{9B91E047-2A7E-4220-95DF-E9FD402B4A7A}
"Na Ëap·öi";"Pole";"GK-2327/1993";2009;"09.11.1993";{8D7A834D-237A-40F7-9294-299A01CBE954}
"Trnavka";"Vodn˝ tok";"P-108/1978";2005;"30.03.1978";{4A7FBFD2-5151-4613-BAC6-A31222313CBF}
"éernovsk˝ potok";"Vodn˝ tok";"P-164/1976";1994;"23.06.1976";{02088791-3176-4520-9384-E528CBB48EA5}
"Hradeck˝ kan·l";"Kan·l, n·hon";"P-425/1990";1991;"31.10.1990";{BE4EB67F-D1DA-4848-971F-5175434B4FE7}
"äimuniËka";"Les";"P-164/1976";1987;"23.06.1976";{20ED2EE6-3709-46AF-B9F9-4559AA395842}
"äimuniËka";"Les";"P-164/1976";1987;"23.06.1976";{A50D73CE-0086-4500-A5DB-B2458D53FA27}
"Nad OsiËinami";"Pole";"P-321/1990";2013;"16.07.1990";{590A8153-DB14-4B9F-9194-4F2C19AAE89D}
"Pred ätef·nikovou";"Hor·reÚ";"P-42/1988";2010;"04.02.1988";{DF30D24C-2880-42CC-A80A-504750AA5F9F}
"Pod Rychvaldsk˝m";"L˙ka, pasienok";"P-378/1975";1988;"19.11.1975";{E58C9B49-BCBE-442F-96F3-AD24539625DB}
"z·chytn˝ kan·l Okny";"Kan·l, n·hon";"P-379/1975";1990;"19.11.1975";{EB635E66-6309-4E60-A621-7CFDDE460763}
"DlhÈ pole";"Pole";"P-108/1978";1991;"30.03.1978";{76A45696-A568-41E2-9563-DFE3BE205323}
"Str·nie";"Vrch";"P-164/1976";1994;"23.06.1976";{3E7E289F-90E1-60AF-E053-3DC4A8C0A57D}
"Por˙bsky potok";"Vodn˝ tok";"P-2144/2007";2013;"30.03.2007";{DEC0E659-4BA5-4521-AF43-6F1E2DE73208}
"Chrastkovia";"Hor·reÚ";"P-221/1981";1994;"09.09.1981";{DF1C7F02-50E8-43F2-A30B-320B2A1F1C3B}
"Benist·";"L˙ka, pasienok";"P-170/1989";2007;"27.06.1989";{349B4943-F108-4EFC-972B-84F067E1BF95}
"RaËÌ potok";"Vodn˝ tok";"P-108/1978";1994;"30.03.1978";{4B3EE33B-900E-4BD0-97BA-25D028024537}
"Ag·Ë";"Pole";"GK-1115/1993";2012;"27.07.1993";{B408BD72-2ACE-4AA4-8207-1DE3CCA78C46}
"Star· »ast·";"Kan·l, n·hon";"P-108/1978";1991;"30.03.1978";{F3593D7D-1EDF-411C-BF22-C14EEE061FE1}
"Star· Nitra";"Vodn˝ tok";"P-108/1978";1993;"30.03.1978";{397380EE-26E9-4D99-BB53-B76DA86A7C7E}
"Poddomok";"Pole";"P-259/1992";2007;"16.06.1992";{AEE9C6EA-6194-4A21-A72A-77138DA7449B}
"Poddomok";"Pole";"P-259/1992";2007;"16.06.1992";{625F0FB0-C33E-4FC6-BFAF-9DF37EC847E6}
"Chot·rny potok";"Vodn˝ tok";"P-108/1978";1989;"30.03.1978";{6B81B611-49C8-4D61-9964-4651FFF0DC01}
"Nad Skokom";50;"P-378/1975";2013;"19.11.1975";{B1AF8BF1-6678-481F-963C-C25B4B02D3F9}
"Star˝ potok";"Kan·l, n·hon";"P-108/1978";2007;"30.03.1978";{5F3AE882-0C34-4938-81D0-83C4CE0EF5BF}
"LieskovÈ";"Majer, osada, samota, miestna Ëasù";"P-221/1981";1994;"09.09.1981";{5549153C-DF99-4040-B9FA-8B9C808CA1DE}
"äupikovce";"Majer, osada, samota, miestna Ëasù";"P-221/1981";1994;"09.09.1981";{C986D190-9D98-486F-ADAD-E92A91AFEDC3}
"Brhlov";"Vodn˝ tok";"P-164/1976";1994;"23.06.1976";{62C135DF-1ABF-4051-866E-55B5CBF254E0}
"Z·grapa";"Majer, osada, samota, miestna Ëasù";"P-221/1981";1994;"09.09.1981";{BE77B101-5947-4AC8-9E27-6E65AEAB5C41}
"PrepadlÌk";"Vrch";"P-395/1991";2007;"05.08.1991";{8E4C7052-59D0-45A4-B976-E98264C9544D}
"Doln˝ dvor";"Majer, osada, samota, miestna Ëasù";"P-221/1981";1993;"09.09.1981";{DEB6E1CF-2B7F-4675-8869-11D997A3A40F}
"Nad Sæ˙nom";"Les";"GK-1031/1993";2007;"01.06.1993";{5B1DC4C3-EE9C-4D71-AE6F-A2C0E7B0D940}
"Eger";"Majer, osada, samota, miestna Ëasù";"P-221/1981";1991;"09.09.1981";{1F44DA5B-BDBC-4FB6-BD5E-544A61C6F28F}
"sv. Anna";"Kaplnka";"P-221/1981";2009;"09.09.1981";{F77DFAC3-AACF-4604-B277-122E5DE7BB36}
"Olöava";"Vodn˝ tok";"P-378/1975";1993;"19.11.1975";{4135862E-0139-403B-BFE3-B50638469D44}
"Valdbergsk˝ kan·l";"Kan·l, n·hon";"P-108/1978";1992;"30.03.1978";{4B17F438-58B7-4057-B111-298F587B4611}
"Terebæa";"Vodn˝ tok";"P-378/1975";2008;"19.11.1975";{CF06FE7A-6E8C-4922-AACD-8F86B06E159D}
"DolnÈ L˙Ëne";"Majer, osada, samota, miestna Ëasù";"P-2211981";1988;"09.09.1981";{6A10378F-F1C9-4CDD-AA78-363479130018}
"Mutnianska r·ztoka";"Vodn˝ tok";"P-164/1976";1994;"23.06.1976";{6B0ED3AB-7742-406F-B921-98B244279682}
"Drienovsk˝ öt·l";"Majer, osada, samota, miestna Ëasù";"P-221/1981";2013;"09.09.1981";{2207960B-8EA3-4176-B2CC-FAFB90E3AFDE}
"Hadie";"Pole";"P-108/1978";1991;"30.03.1978";{1BE21F9B-4D17-42DC-B084-1998CEB150AE}
"KukuËinovsk˝ kan·l";"Kan·l, n·hon";"P-108/1978";1993;"30.03.1978";{5715DA1E-E908-4CB8-B82A-BE6129D7B769}
"StoËok";"Les";"P-255/1992";1992;"16.06.1992";{C5A815B1-E9B4-4AA0-9DE9-6643D757D0D6}
"Boheæovsk˝ rybnÌk";"RybnÌk, rybnÌky";"P-386/1992";2007;"23.09.1992";{89CE87F5-D899-449C-B594-C352751D93CD}
"Pred MiË·kovcami";"Pole";"P-259/1992";2003;"16.06.1992";{1F0F3373-03E9-44E9-8868-A1E21EBCE941}
"Duöa";"Vodn˝ tok";"P-378/1975";2007;"19.11.1975";{0C9A742C-885F-4F24-8D5A-3DA2988F2EDB}
"Rovn˝ potok";"Vodn˝ tok";"P-164/1976";1994;"23.06.1976";{C4738C63-F840-4909-868E-DEEABAA3E41A}
"TrûinnÈ";"Les";"P-164/1976";1994;"23.06.1976";{6EADA0C8-EB1D-49C8-9D6F-96A63A52D99A}
"ävost";"Vrch";"P-164/1976";1987;"23.06.1976";{E889927D-599F-44D3-9CB7-CF2285C39832}
"Poddomok";"Pole";"P-259/1992";2007;"16.06.1992";{7DA728F4-6CEE-4AC4-A107-735B2A1AD837}
"Poddomok";"Pole";"P-259/1992";2007;"16.06.1992";{804C9A02-1BD7-4010-BEF6-744CBBA6A331}
"Duöa";"Vodn˝ tok";"P-378/1975";2007;"19.11.1975";{BF5AAD53-5525-4745-93D9-340B88B4EC14}
"Koh˙tkovo";"Vrch";"P-164/1976";1994;"23.06.1976";{EB4A198D-E5A0-4EDE-8EBC-CCAA4A787283}
"Olöava";"Vodn˝ tok";"P-378/1975";1993;"19.11.1975";{950E5784-8B5C-4FF1-A2D5-D25899A1C9EC}
"VeækÈ Vreteno";"Vrch";"P-164/1976";1994;"23.06.1976";{38701A58-8B3B-7069-E053-3DC4A8C04A1E}
"Ludrovanka";"Vodn˝ tok";"P-164/1976";2005;"23.06.1976";{60FC1B29-504C-4B63-86E0-5D25AB7777CA}
"Kamenica";"Vrch";"P-164/1976";1992;"23.06.1976";{32D02462-C23B-42DF-B792-9C2DD80CBAA3}
"SvidniËanka";"Vodn˝ tok";"GK-1115/1993";2013;"09.06.1993";{26C511C8-46B3-4444-B5DA-4342419BDD4B}
"Bobrovsk· dolina";"Dolina";"P-164/1976";1987;"23.06.1976";{E8E1F9A2-7879-4B3E-A821-1CBAB6D0CABE}
"Sekanie";"L˙ka, pasienok";"P-170/1989";2007;"27.06.1989";{2E780985-C542-45FD-AB65-1DDDBD5D4421}
"Iæovnica";"Vodn˝ tok";"P-378/1975";2007;"19.11.1975";{12CA0118-9C28-4084-872C-BAE361BF024A}
"Pri v·hadle";"Pole";"P-386/1992";2007;"23.09.1992";{6E1E5082-E18C-442C-9EF3-9934B06380FD}
"DrieÚok";"Vrch";"P-164/1976";2007;"23.06.1976";{37061338-A39C-7CB7-E053-3DC4A8C05F8C}
"MoËiln· skala";"Vrch";"P-164/1976";2007;"23.06.1976";{2147074E-A479-414D-AE9E-722821077B00}
"Od krökanskÈho chot·ra";"Pole";"P-190/1988";2007;"01.07.1988";{EB802D22-9ACE-43E1-A079-1DCFCCBCC6D3}
"Kykula";"Vrch";"P-164/1976";1987;"23.06.1976";{92DCBA03-AB02-4198-8093-8D7DDB759CB4}
"Poddomky";"Pole";"P-259/1992";2007;"16.06.1992";{2772E815-DCCE-41E1-8170-2744778CF46E}
"Ryb·rka";"Les";"P-170/1989";2010;"27.06.1989";{9879E1B5-3DFF-44FF-84B2-29C20C27B8E6}
"BuËie";"Vrch";"P-378/1975";1992;"19.11.1975";{37061338-A18D-7CB7-E053-3DC4A8C05F8C}
"Kuchtovce";"Les";"GK-1115/1993";2007;"09.06.1993";{E48F970E-6AFB-4127-8E8C-F63BC621840C}
"Pod Deravou";"L˙ka, pasienok";"P-170/1989";2007;"27.06.1989";{0F383F0B-06B4-4A88-BB91-C7BFD226BD66}
"HornÈ Borody";"Pole";"P-261/1984";2009;"28.09.1984";{A8EBC562-BFF5-4C20-8A55-6C0C5A79D965}
"Chot·rny potok";"Vodn˝ tok";"P-108/1978";1989;"30.03.1978";{F77340F3-D2A1-402D-93E4-EBD379CBC6CF}
"RybnÌky";"RybnÌk, rybnÌky";"P-386/1992";2009;"23.09.1992";{A80A1CB6-F21A-4262-BB23-08724B321311}
"RybnÌky";"RybnÌk, rybnÌky";"P-386/1992";2009;"23.09.1992";{E9947794-CE2C-4704-9D99-D239AE0E3C70}
"Nad mlynskou cestou";"L˙ka, pasienok";"P-42/1988";2010;"04.02.1988";{EDF787AD-E71D-4502-8E73-D4FFE2685413}
"SoboÚov";"Vrch";"P-164/1976";1990;"23.06.1976";{0D7D5AAD-F972-4593-8556-61C42059C06D}
"äadrinka";"Vrch";"P-378/1975";1992;"19.11.1975";{C6CF66F9-230C-44C7-A5B0-25D61A748E30}
"Prielohy";"L˙ka, pasienok";"P-170/1989";2007;"27.06.1989";{99380434-4EB5-4BBF-B860-1E6C4BB184A3}
"Kikula";"L˙ka, pasienok";"P-42/1988";2007;"04.02.1988";{9EC7FA85-EFCA-4A3C-A801-6EA96BCD579B}
"Pavuöov·";"Les";"P-111/1985";2009;"05.05.1985";{C5EB2450-FB21-40E0-B413-C8B91FC3BDAE}
"Novomlynsk˝ potok";"Kan·l, n·hon";"P-108/1978";2005;"30.03.1978";{B6AFD2BB-FB41-46E3-B6E3-B75FC0BA8C9D}
"PorËe";"Les";"P-378/1975";1990;"19.11.1975";{BB79359D-20AE-4ECC-B48C-CEC46C95F03E}
"Peterklin";"Vrch";"P-108/1978";1989;"30.03.1978";{0F5B700B-C01C-4B7E-B5B2-0D2DC0B4298E}
"HrubÈ Okr˙ûky";"Pole";"P-4/1989";2007;"11.01.1989";{38988031-A7E2-499F-9A93-6CB682DB79E1}
"Horoöov";"Vodn˝ tok";"P-378/1975";1992;"19.11.1975";{C494C32E-70D2-41F8-9C99-7A018EBCC876}
"»ierny potok";"Vodn˝ tok";"P-170/1989";2007;"27.06.1989";{919B19C4-774E-4FFB-9965-A92E3D259563}
"Zadn˝ klen";"L˙ka, pasienok";"P-365/1990";2007;"28.08.1990";{E54B18E0-1976-4D6A-89DD-5AA2751FED7A}
"Patrik˙sky";"Les";"P-378/1975";1993;"19.11.1975";{D2A926F1-93DD-4108-8141-A1CF1DE0BAAF}
"U Slov·ka";"L˙ka, pasienok";"P-306/1992";2007;"11.08.1992";{185824BA-E68D-4FEE-98AB-D5D2F28A44FE}
"Nefcerka";"Vodn˝ tok";"P-378/1975";1988;"19.11.1975";{9B42D3BB-9B9B-402C-8651-3AD2E0161F94}
"Pavelov·";"Vrch";"P-170/1989";2010;"27.06.1989";{AFA2011B-74CE-4ABE-B857-0BAFDEE0D644}
"K lesom";"Pole";"P-306/1992";2007;"11.08.1992";{E873272A-26C7-49CA-A2DC-E99DC86D68F5}
"Olöiny";"L˙ka, pasienok";"P-378/1975";1993;"19.11.1975";{4DF12444-75E3-48FF-8EDD-EBAF9AE1D23D}
"Na öÌrav·ch";"Pole";"GK-1115/1993";2003;"09.06.1993";{A7EAE62A-B822-450F-A2A2-56C2F36D274B}
"Mustkov";"Vrch";"P-378/1975";1993;"19.11.1975";{2F76985A-C8ED-43EE-B7E1-2031B5F32B11}
"Dudv·h";"Vodn˝ tok";"P-108/1978";2007;"30.03.1978";{FEB262F8-78F1-4E06-9793-183EED322EBD}
"Predn˝ oblaz";"L˙ka, pasienok";"P-196/1988";2007;"11.07.1988";{F44A2510-DB74-4DAC-A0D1-645A15D0AE57}
"Roztoky";"Vodn˝ tok";"P-378/1975";1990;"19.11.1975";{8A42A764-BA4D-4A50-9DA4-2FC68B2D1457}
"Skatlinsk˝ potok";"Vodn˝ tok";"P-425/1990";1992;"31.10.1990";{824DE525-F97E-4E94-8F1C-CAEDFD591F35}
"Sojakova dolina";"Dolina";"P-42/1988";1990;"04.02.1988";{68B3C81B-E71F-4C5C-8D55-853254506AEF}
"Rusk˝ kan·l";"Kan·l, n·hon";"P-425/1990";2006;"31.10.1990";{09CEAD9A-F4A7-40A1-94FF-D183B7954894}
"Rusk˝ kan·l";"Kan·l, n·hon";"P-425/1990";2006;"31.10.1990";{C3183684-897C-42E6-94C6-076CFF802D78}
"DubaËovci";"Majer, osada, samota, miestna Ëasù";"P-221/1981";1994;"09.09.1981";{C73AE40F-B44A-47BF-ABF5-7562ED55849D}
"Uhrovsk˝ hrad";"Zr˙canina";"P-221/1981";1990;"09.09.1981";{EAD4DACF-A971-40D8-9D61-3517125A6D2C}
"L·Ú";"Pole";"P-255/1992";2013;"16.06.1992";{6A1AA961-E267-4C2B-9854-E3C95BDBB2F7}
"Iv·Ëka";"L˙ka, pasienok";"P-164/1976";2013;"23.06.1976";{E4A89162-017C-420A-ACB5-38045CC651CC}
"Z·chytn˝ kan·l";"Kan·l, n·hon";"P-212/1982";2007;"21.10.1982";{B11D2F7A-47F0-45CB-B2F9-C2CEE9C3933A}
"Olöava";"Vodn˝ tok";"P-378/1975";1992;"19.11.1975";{7F39BF79-FB26-4CB6-9E1E-A6D03CBF86AB}
"Mal· Dubov·";"Les";"P-108/1978";1988;"30.03.1978";{752350A7-4627-4577-A249-7A7A82173D4A}
"PastevnÌk";"Vodn˝ tok";"P-378/1975";1992;"19.11.1975";{F268E422-91E2-4CD1-B435-DBE06D901AF8}
"Zavartov˝ potok";"Vodn˝ tok";"P-378/1975";1988;"19.11.1975";{4EC25319-7D54-467F-9E16-D1BE95BDF270}
"Kopanica";"Pole";"P-108/1978";2007;"30.03.1978";{C144E9FD-1041-423B-8824-5AE3FDFB88C2}
"Hlavina";"Majer, osada, samota, miestna Ëasù";"P-221/1981";1991;"09.09.1981";{1346EC22-B296-4FD2-95E8-281B66CC1338}
"Kieökov·";"Les";"P-365/1990";2007;"28.08.1990";{2F208EF5-FF08-45FB-A959-97BC9FB6A2CF}
"Apponiovsk˝ priesek";"Les";"P-4/1989";2007;"11.01.1989";{23322A91-AEE1-4444-960D-83F61C7C6E42}
"Na éobraËom v‡öku";"Pole";"GK-1423/1993";2014;"28.07.1993";{F754F9DD-9145-474E-9853-7C6A6A8D7195}
"»it·rovskÈ";"Pole";"GK-2327/1993";2008;"09.11.1993";{F556200C-435F-4EDD-A124-423CE453A8D5}
"Ruskov";"Vrch";"P-164/1976";1987;"23.06.1976";{840F8485-F9D3-4840-BFAD-0E9BF8BACCCB}
"Pred MiË·kovcami";"Pole";"P-259/1992";2003;"16.06.1992";{429DC233-B8A5-4C12-8233-48A1F75D78A9}
"Hlav·Ëka";"Les";"P-170/1989";2013;"27.06.1989";{9576B79D-D3E1-479C-9CB3-2A7EF7CC87CF}
"Tonsk· pusta";"Majer, osada, samota, miestna Ëasù";"P-386/1992";2008;"23.09.1992";{28F0706A-0547-427B-B880-9C0B53DFB3A6}
"VyönÈ ortovisko";"Pole";"P-98/1990";2007;"08.02.1990";{537F7826-FC44-4F4B-8EC0-A373B973CF6D}
"Cerovo";"Vrch";"P-250/1986";1992;"05.08.1986";{687AB739-5A56-4A63-8D84-78C19CF57FB6}
"DrieÚov·";"Les";"P-108/1978";1985;"30.03.1978";{A083E6A0-C99D-4DEF-8E09-B44A41BDDBD2}
"Haruöù·kovci";"Majer, osada, samota, miestna Ëasù";"P-221/1981";1991;"09.09.1981";{9F17EC63-E4BF-4732-80A2-0737074EDE9B}
"VyönÈ";"L˙ka, pasienok";"P-98/1990";2007;"08.02.1990";{D326B6E2-1D42-4413-9B8A-0C22C3A07483}
"Za kamienkami";"L˙ka, pasienok";"GK-2406/1993";2007;"21.03.2007";{93A46C8A-6064-4C73-AEF3-C6E996F52B72}
"Muchlovci";"Majer, osada, samota, miestna Ëasù";"P-221/1981";1994;"09.09.1981";{7BB307AA-34AA-4FE3-AB48-78C48F618E41}
"Dr·ûna";"Les";"P-255/1992";2007;"16.06.1992";{CF76B3A1-E45E-43F3-8794-2573350071D9}
"Trnavka";"Vodn˝ tok";"P-108/1978";2005;"30.03.1978";{84DB104C-1457-48AB-8F5F-137437BD2437}
"Syrov˝ potok";"Vodn˝ tok";"P-378/1975";1993;"31.10.1975";{999D2BD6-A02D-447C-B899-C63B02114AD4}
"GÌblik";"Pole";"P-378/1975";1988;"19.11.1975";{FE9D72A6-C988-4D07-AFBA-A41F2A29C40C}
"Kakvica";"Jazero, jazer·, pleso, ples·";"P-108/1978";1983;"30.03.1978";{D8DD4035-F95E-47A8-AA65-1E770F822732}
"HrubÈ Okr˙ûky";"Pole";"P-4/1989";2007;"11.01.1989";{A7D454DE-A362-4EC1-9DDF-C06942559A76}
"Z·hradn· dolina";"Dolina";"P-244/1986";2007;"29.07.1986";{576B402A-3C96-4F2C-8CF1-AD9AEAA593B6}
"PaËala";"Vodn˝ tok";"P-108/1978";1988;"30.03.1978";{82BF8B3D-110D-4222-8E1C-BAA9DA0ED0F3}
"Kvetnianka";"Vodn˝ tok";"P-108/1978";1993;"30.03.1978";{9FF4C2D1-A0A1-4B12-A8B7-4AC2264D4484}
"Star· éitava";"RybnÌk, rybnÌky";"P-108/1978";1991;"30.03.1978";{336520CD-C05D-4CA7-8CAB-A41BE73AD7D1}
"Mal· »ast·";"Vodn˝ tok";"P-108/1978";1991;"30.03.1978";{A49E2EFD-B997-4C58-92D4-6E28A16F6B75}
"Olöiansky potok";"Vodn˝ tok";"P-378/1975";2007;"19.11.1975";{0089A6D6-9339-4C51-9C27-4BCCC2F4546F}
"Kopanice";"Vrch";"P-164/1976";1990;"23.06.1976";{AE06C56C-C9AE-46CE-9602-86A3EA499273}
"Pod Svoradom";"Les";"P-164/1976";1990;"23.06.1976";{FCBEC5B6-A717-453E-BE7B-A2872DB77A62}
"dolina Siedmich prameÚov";"Dolina";"P-378/1975";2007;"19.11.1975";{527F55F6-A0E9-4775-9686-C1DF2BE7F743}
"Star· éitava";"RybnÌk, rybnÌky";"P-108/1978";1991;"30.03.1978";{75BEB99E-31CB-449E-9CAD-FDCCF1C5F419}
"Star· éitava";"RybnÌk, rybnÌky";"P-108/1978";1991;"30.03.1978";{BC541BBE-2DEB-4D87-BC80-A8AB4B2FE965}
"Star· éitava";"RybnÌk, rybnÌky";"P-108/1978";1991;"30.03.1978";{B066BF46-D782-4B51-B048-D308995DBB89}
"Kop·nka";"Vodn˝ tok";"P-108/1978";2007;"30.03.1978";{FC1B316E-8A63-4AE5-A63B-71E0E0023F1B}
"LetniËiansky potok";"Vodn˝ tok";"P-108/1978";2003;"30.03.1978";{0724A1A0-D1F3-4FF9-9442-367A00D1A738}
"Milinovsk˝ kan·l";"Kan·l, n·hon";"P-108/1978";1992;"30.03.1978";{FA944289-DF2F-4678-87DB-FAA024774E7A}
"Pod vinohradmi";"Sad, z·hrada";"P-4/1989";2013;"11.01.1989";{44D41E3E-9EC2-4B62-A336-BDF28AB69AAB}
"Lipie";"Vrch";"P-164/1976";1994;"23.06.1976";{380C6CB4-129D-8899-E053-3DC4A8C00FED}
"Sv‰t· Anna";"Kaplnka";"P-365/1990";2009;"28.08.1990";{34F9666C-F29D-4148-BB53-ED80AD3F24B9}
"Trnavka";"Vodn˝ tok";"P-378/1975";2005;"19.11.1975";{47330B11-7D3B-435E-9B39-B9DE8A8C77BC}
"Pri »astej";"Pole";"P-108/1978";1991;"30.03.1978";{129EAADF-305E-49BF-87D7-0E4D300EDECB}
"Rakovick˝ doln˝ h·j";"Pole";"P-108/1978";1985;"30.03.1978";{66CA0EC2-620E-41F2-94AD-4D9198068CFF}
"Mutnianka";"Vodn˝ tok";"P-164/1976";1994;"23.06.1976";{1BA73D18-8901-4B46-831B-1A04B316B49D}
"Mal˝ hrb";"Vrch";"P-164/1976";2010;"23.06.1976";{FD1F12A8-2222-4DB1-9042-B0A73CA46E67}
"LÛsy";"Pole";"P-378/1975";1988;"19.11.1975";{9CC22480-DB2F-4DC9-8F9E-BC6176DAC59F}
"DalÚa";"Les";"GK-1634/1994";2017;"03.06.1994";{B86FE5D4-3243-4535-B131-A91DD47E9EC3}
"Strh·rdolina";"Majer, osada, samota, miestna Ëasù";"P-221/1981";1992;"09.09.1981";{50DAC567-4740-4374-B60C-F63899F932F4}
"Malokrökansk˝ majer";"Majer, osada, samota, miestna Ëasù";"P-221/1981";1993;"09.09.1981";{B6CD5B59-4B38-4839-924C-BD290A132297}
"Pri studni";"Pole";"P-108/1978";1985;"30.03.1978";{C40E8B44-260F-4A25-A633-2741506AEAC7}
"Bilikovci";"Majer, osada, samota, miestna Ëasù";"P-221/1981";1989;"09.09.1981";{AEBBE227-F2AD-4B5A-9C74-6EC00CAD5054}
"K˙ty";"Vinica";"P-108/1978";1993;"30.03.1978";{3AF52DEF-3B48-9535-E053-3DC4A8C00663}
"KæaËianska dolina";"Majer, osada, samota, miestna Ëasù";"P-221/1981";1986;"09.09.1981";{AD5A2179-DFAC-45B8-BB2A-66AA35FEE97A}
"Na sihoti";"Pole";"P-108/1978";1993;"30.03.1978";{6E43296F-0C20-4F23-B7B4-18FA95D9D08C}
"ZiËiho potok";"Kan·l, n·hon";"P-801/1993";1999;"21.04.1993";{8E79DB4A-F57D-44C5-A688-E29522FCF0F9}
"Kamanovsk· domovina";"Majer, osada, samota, miestna Ëasù";"P-221/1981";1985;"09.09.1981";{E6A79F1E-240C-47F4-AF68-94FC7D4DD481}
"äatina";"Majer, osada, samota, miestna Ëasù";"P-221/1981";1994;"09.09.1981";{5F4EBF45-D149-4230-BAE8-D5B0C0D6F881}
"Zelienkovci";"Majer, osada, samota, miestna Ëasù";"P-221/1981";1994;"09.09.1981";{9D74282F-5C4D-4FAE-B4C3-5D16AD1FC14A}
"V˝chodn˝ Lelesk˝ kan·l";"Kan·l, n·hon";"P-425/1990";2005;"31.10.1990";{28F9D21A-9632-4580-AC6D-C09740D2646D}
"V lazoch";"L˙ka, pasienok";"P-321/1990";2007;"16.07.1990";{322CC6ED-06E2-47D1-85C6-2DB97CF2ADA1}
"Borov˝ potok";"Vodn˝ tok";"P-378/1975";1990;"19.11.1975";{C2D13817-E3E9-49C5-AC54-D1C7EC3B34F1}
"Nad h·jom";"Vrch";"P-164/1976";1993;"23.06.1976";{F221992B-B463-4A54-B511-4F01AF349376}
"SuchÈ";"Pole";"P-108/1978";1985;"30.03.1978";{F09CC3B9-9663-46D9-9B82-09D05CE869A2}
"Str·ne";"Sad, z·hrada";"P-108/1978";1988;"30.03.1978";{F8C74853-FB66-454E-BB3F-01A03DA61022}
"DolnÈ Kopanice";"Majer, osada, samota, miestna Ëasù";"P-221/1981";1985;"09.09.1981";{1229B8EB-4F45-488C-9D62-7AA38BDC4EA3}
"Hrad";"Pole";"P-108/1978";1979;"30.03.1978";{3420CD1D-4E4D-43A2-9355-3E1C1D5AAF69}
"R˙banisko";"Pole";"P-378/1975";1993;"19.11.1975";{8D776A32-BD97-4004-B588-DA6E74354185}
"Nad T·æmi";"Vrch";"P-244/1986";1993;"29.07.1986";{38119BA8-0A9B-0AD4-E053-3DC4A8C097BF}
"Kvetnianka";"Vodn˝ tok";"P-108/1978";1993;"30.03.1978";{2042F169-7E63-4E36-8B39-AE83CFEE5E4E}
