"IDN5";"NM5";"IDN4";"NM4";"IDN3";"NM3";"IDN2";"NM2";"POINT_X";"POINT_Y"
811921;"Dolná Trnávka";516724;"Dolná Trnávka";613;"iar nad Hronom";6;"Banskobystrickı";-445972.91;-1245870.52
811939;"Dolná Ves";516732;"Dolná Ves";613;"iar nad Hronom";6;"Banskobystrickı";-435632.02;-1234961.58
811947;"Dolná daòa";516741;"Dolná daòa";613;"iar nad Hronom";6;"Banskobystrickı";-448909.44;-1246938.47
811955;"Dolné Drkovce";545651;"Ve¾ké Drkovce";301;"Bánovce nad Bebravou";3;"Trenèiansky";-488830.03;-1223696.82
811963;"Dolné Dubové";506931;"Dolné Dubové";207;"Trnava";2;"Trnavskı";-534097.44;-1245520.18
811971;"Dolné Hámre";516759;"Hodruša-Hámre";612;"arnovica";6;"Banskobystrickı";-448627.9;-1256563.32
812013;"Dolné Koèkovce";557439;"Dolné Koèkovce";308;"Púchov";3;"Trenèiansky";-473242.04;-1183640.95
812021;"Dolné Krškany";500011;"Nitra";403;"Nitra";4;"Nitriansky";-499373.14;-1274609.6
812048;"Dolné Lefantovce";582425;"Dolné Lefantovce";403;"Nitra";4;"Nitriansky";-496096.88;-1258024.71
812056;"Dolné Mladonice";518301;"Dolné Mladonice";605;"Krupina";6;"Banskobystrickı";-422504.63;-1273116.92
812072;"Dolné Naštice";542849;"Dolné Naštice";301;"Bánovce nad Bebravou";3;"Trenèiansky";-483201.98;-1227848.34
812081;"Dolné Obdokovce";500194;"Dolné Obdokovce";403;"Nitra";4;"Nitriansky";-490024.24;-1270568.92
812099;"Dolné Orešany";506940;"Dolné Orešany";207;"Trnava";2;"Trnavskı";-548469.07;-1249801.31
812102;"Dolné Otrokovce";506958;"Dolné Otrokovce";203;"Hlohovec";2;"Trnavskı";-510827.61;-1250791.22
812111;"Dolné Plachtince";515973;"Dolné Plachtince";610;"Ve¾kı Krtíš";6;"Banskobystrickı";-409839.84;-1289078.42
812129;"Dolné Saliby";503746;"Dolné Saliby";202;"Galanta";2;"Trnavskı";-523540.1;-1291396.35
812137;"Dolné Semerovce";502189;"Dolné Semerovce";402;"Levice";4;"Nitriansky";-444866.76;-1295994.7
817007;"Horenice";513326;"Lednické Rovne";308;"Púchov";3;"Trenèiansky";-476438.85;-1184996.66
817015;"Medné";513326;"Lednické Rovne";308;"Púchov";3;"Trenèiansky";-477992.06;-1183914.44
817023;"Hôrka";513326;"Lednické Rovne";308;"Púchov";3;"Trenèiansky";-477562.4;-1185322.05
817040;"Hôrka";523488;"Hôrka";706;"Poprad";7;"Prešovskı";-324668.96;-1202526.04
817104;"Hôrka nad Váhom";505994;"Hôrka nad Váhom";304;"Nové Mesto nad Váhom";3;"Trenèiansky";-506716.01;-1224043.1
817139;"Hôrky";517577;"Hôrky";511;"ilina";5;"ilinskı";-446995.98;-1173761.85
817147;"Horòa";522473;"Horòa";809;"Sobrance";8;"Košickı";-193199.97;-1237519.12
817163;"Horná Breznica";557692;"Horná Breznica";308;"Púchov";3;"Trenèiansky";-479941.59;-1180685.69
817171;"Horná Krá¾ová";555878;"Horná Krá¾ová";405;"Ša¾a";4;"Nitriansky";-513391.95;-1275348.71
817180;"Horná Krupá";507041;"Horná Krupá";207;"Trnava";2;"Trnavskı";-539206.54;-1242189.97
817201;"Horná Lehota";508624;"Horná Lehota";603;"Brezno";6;"Banskobystrickı";-385159.89;-1215002.29
817210;"Horná Lehota";509671;"Horná Lehota";503;"Dolnı Kubín";5;"ilinskı";-394622.13;-1171785.55
817287;"Horná Mariková";513083;"Horná Mariková";306;"Povaská Bystrica";3;"Trenèiansky";-474819.94;-1165107.9
817457;"Horná Mièiná";508632;"Horná Mièiná";601;"Banská Bystrica";6;"Banskobystrickı";-414297.03;-1232680.33
817465;"Horná Poruba";513091;"Horná Poruba";302;"Ilava";3;"Trenèiansky";-477734.69;-1200703.78
817490;"Benkova Potôò";501590;"Horná Potôò";201;"Dunajská Streda";2;"Trnavskı";-544710.81;-1294003.23
817503;"Èeèínska Potôò";501590;"Horná Potôò";201;"Dunajská Streda";2;"Trnavskı";-541426.17;-1292970.83
817511;"Horná Potôò";501590;"Horná Potôò";201;"Dunajská Streda";2;"Trnavskı";-546096.05;-1293810.32
