"IDN5";"NM5";"IDN4";"NM4";"IDN3";"NM3";"IDN2";"NM2";"POINT_X";"POINT_Y"
813940;"Dúava";514462;"Rimavská Sobota";609;"Rimavská Sobota";6;"Banskobystrickı";-358597.78;-1275851.2
813958;"Dvorany nad Nitrou";556262;"Dvorany nad Nitrou";406;"Topo¾èany";4;"Nitriansky";-497359.22;-1248898.73
813966;"Dvorec";542873;"Dvorec";301;"Bánovce nad Bebravou";3;"Trenèiansky";-486345.58;-1224970.76
813982;"Dvorec nad Turcom";512303;"Ivanèiná";509;"Turèianske Teplice";5;"ilinskı";-441127.03;-1207903.72
813991;"Dvorianky";528340;"Dvorianky";811;"Trebišov";8;"Košickı";-229304.41;-1240569.77
814024;"Dvorníky";507024;"Dvorníky";203;"Hlohovec";2;"Trnavskı";-521307.04;-1262474.05
814083;"Dvorníky";518425;"Hontianske Tesáre";605;"Krupina";6;"Banskobystrickı";-437940.26;-1287729.05
814113;"Malé Dvorníky";555665;"Malé Dvorníky";201;"Dunajská Streda";2;"Trnavskı";-534209.21;-1297918.84
814121;"Ve¾ké Dvorníky";555673;"Ve¾ké Dvorníky";201;"Dunajská Streda";2;"Trnavskı";-533637.3;-1300029.08
814148;"Dvory nad itavou";503177;"Dvory nad itavou";404;"Nové Zámky";4;"Nitriansky";-488969.91;-1306771.11
814156;"Dyèka";500933;"Vráble";403;"Nitra";4;"Nitriansky";-486339.3;-1278523.95
814172;"Egreš";528358;"Egreš";811;"Trebišov";8;"Košickı";-238258.69;-1252367.63
814181;"Faèkov";517542;"Faèkov";511;"ilina";5;"ilinskı";-455333.29;-1197059.73
814199;"Falkušovce";522414;"Falkušovce";807;"Michalovce";8;"Košickı";-221008.13;-1251967.32
814202;"Farná";502227;"Farná";402;"Levice";4;"Nitriansky";-471280.95;-1305403.32
814211;"Fekišovce";522422;"Fekišovce";809;"Sobrance";8;"Košickı";-201249.32;-1236236.61
814229;"Figa";514713;"Figa";609;"Rimavská Sobota";6;"Banskobystrickı";-338933.7;-1271003.47
814237;"Fijaš";527271;"Fijaš";712;"Svidník";7;"Prešovskı";-237269.65;-1195450.15
814296;"Fi¾akovo";511391;"Fi¾akovo";606;"Luèenec";6;"Banskobystrickı";-371774.31;-1283896.86
814334;"Fi¾akovské Kováèe";511404;"Fi¾akovské Kováèe";606;"Luèenec";6;"Banskobystrickı";-374805.64;-1281746.73
814351;"Fintice";524395;"Fintice";707;"Prešov";7;"Prešovskı";-259943.09;-1202249.68
814369;"Folkušová";512257;"Folkušová";506;"Martin";5;"ilinskı";-429649.93;-1201335.0
814377;"Forbasy";526690;"Forbasy";710;"Stará ¼ubovòa";7;"Prešovskı";-306791.14;-1174410.37
814385;"Frièka";519154;"Frièka";701;"Bardejov";7;"Prešovskı";-272604.78;-1162595.21
814393;"Frièkovce";519162;"Frièkovce";701;"Bardejov";7;"Prešovskı";-263285.7;-1187923.68
814415;"Frièovce";524409;"Frièovce";707;"Prešov";7;"Prešovskı";-282586.33;-1205829.8
814423;"Fulianka";524417;"Fulianka";707;"Prešov";7;"Prešovskı";-255722.2;-1201706.59
814440;"Gabèíkovo";501573;"Gabèíkovo";201;"Dunajská Streda";2;"Trnavskı";-541388.07;-1313993.41
814474;"Gaboltov";519171;"Gaboltov";701;"Bardejov";7;"Prešovskı";-267737.46;-1167026.08
814482;"Gajary";507890;"Gajary";106;"Malacky";1;"Bratislavskı";-584371.5;-1244483.3
814504;"Galanta";503665;"Galanta";202;"Galanta";2;"Trnavskı";-526678.37;-1279386.73
811513;"Dolinka";515957;"Dolinka";610;"Ve¾kı Krtíš";6;"Banskobystrickı";-421861.78;-1299627.19
811521;"Dolná Breznica";512958;"Dolná Breznica";308;"Púchov";3;"Trenèiansky";-479544.11;-1185006.8
811548;"Dolná Krupá";506923;"Dolná Krupá";207;"Trnava";2;"Trnavskı";-537020.7;-1247188.63
811572;"Dolná Lehota";508535;"Dolná Lehota";603;"Brezno";6;"Banskobystrickı";-388597.93;-1213322.92
811599;"Dolná Lehota";509957;"Oravskı Podzámok";503;"Dolnı Kubín";5;"ilinskı";-396863.67;-1169998.08
811611;"Dolná Mariková";512966;"Dolná Mariková";306;"Povaská Bystrica";3;"Trenèiansky";-470959.3;-1170459.24
811718;"Dolná Mièiná";508543;"Dolná Mièiná";601;"Banská Bystrica";6;"Banskobystrickı";-413354.83;-1235877.92
811726;"Dolná Poruba";505935;"Dolná Poruba";309;"Trenèín";3;"Trenèiansky";-478705.51;-1204924.22
811769;"Dolná Seè";502171;"Dolná Seè";402;"Levice";4;"Nitriansky";-465205.45;-1286147.48
811777;"Dolná Streda";555789;"Dolná Streda";202;"Galanta";2;"Trnavskı";-525078.88;-1272935.23
811785;"Dolná Strehová";515965;"Dolná Strehová";610;"Ve¾kı Krtíš";6;"Banskobystrickı";-396106.81;-1284538.33
811840;"Dolná Súèa";505943;"Dolná Súèa";309;"Trenèín";3;"Trenèiansky";-498025.75;-1196338.35
811874;"Dolná Štubòa";512729;"Turèianske Teplice";509;"Turèianske Teplice";5;"ilinskı";-438508.59;-1215698.01
811904;"Dolná Tiina";517518;"Dolná Tiina";511;"ilina";5;"ilinskı";-428242.61;-1175233.88
